price,living_area,number_of_rooms,new_production,monthly_fee,build_year,elevator,city_area
1.325,107,4.0,0.0,4606.0,1982.0,0.0,0
2.65,43,2.0,0.0,1856.0,1938.0,0.0,1
1.5,85,3.0,1.0,4899.0,2014.0,1.0,1
0.555,79,3.0,0.0,3792.0,1986.0,,0
1.7049999999999998,68,3.0,0.0,3484.0,1972.0,0.0,1
2.02,24,1.0,0.0,1370.0,1949.0,0.0,0
1.955,60,2.0,0.0,3720.0,1970.0,0.0,1
3.65,88,3.0,0.0,5612.0,2008.0,1.0,1
3.41,63,2.0,0.0,4335.0,2005.0,1.0,1
2.495,80,3.0,0.0,5694.0,2008.0,1.0,1
3.5300000000000002,91,4.0,0.0,5383.0,1961.0,1.0,1
2.3,53,2.0,0.0,3421.0,1920.0,0.0,1
2.695,28,1.0,0.0,1542.0,1970.0,1.0,1
1.17,88,4.0,0.0,6162.0,1982.0,0.0,1
2.7,66,3.0,0.0,3902.0,1922.0,0.0,1
3.2,79,3.0,0.0,4481.0,1971.0,0.0,1
2.85,35,1.0,0.0,2389.0,1912.0,1.0,1
1.735,60,2.0,0.0,3891.0,2015.0,1.0,1
2.0,86,3.0,0.0,4528.0,1973.0,0.0,1
2.03,89,4.0,0.0,5665.0,1969.0,0.0,1
1.725,79,3.0,0.0,3737.0,1956.0,0.0,0
1.595,36,2.0,1.0,2715.0,,0.0,1
1.51,90,4.0,0.0,5558.0,1993.0,0.0,0
0.375,51,1.0,0.0,3683.0,1990.0,1.0,0
1.17,43,1.0,0.0,2545.0,1970.0,1.0,1
3.1,36,1.0,0.0,1958.0,1869.0,0.0,1
2.195,54,2.0,0.0,3550.0,1994.0,1.0,1
0.651,63,2.0,0.0,3332.0,1965.0,1.0,1
0.495,37,1.0,0.0,2086.0,1961.0,0.0,0
0.82,75,2.0,0.0,3793.0,1968.0,1.0,1
2.37,60,2.0,0.0,3975.0,1941.0,1.0,1
3.535,43,2.0,0.0,1684.0,1939.0,0.0,1
1.41,60,2.0,0.0,3414.0,1973.0,1.0,1
6.8,64,2.0,0.0,2977.0,1905.0,1.0,1
2.213,60,2.0,0.0,4018.0,1988.0,1.0,1
1.08,84,3.0,0.0,4791.0,1990.0,0.0,1
0.48,93,4.0,0.0,3174.0,1960.0,0.0,0
1.87,60,2.0,0.0,3896.0,1931.0,1.0,1
0.49,55,2.0,0.0,4601.0,1968.0,1.0,0
1.775,102,4.0,0.0,4058.0,1970.0,1.0,0
1.21,48,2.0,0.0,3755.0,1970.0,1.0,1
0.925,84,4.0,0.0,4827.0,1963.0,,0
0.295,84,4.0,0.0,4991.0,,,1
1.62,74,3.0,0.0,5033.0,1955.0,0.0,1
1.0499999999999998,74,4.0,0.0,4310.0,2014.0,0.0,1
0.355,35,1.0,0.0,2706.0,1958.0,0.0,0
2.18,89,5.0,0.0,4644.0,2000.0,0.0,1
2.92,56,2.0,0.0,3559.0,1950.0,0.0,1
1.915,37,1.0,0.0,1685.0,1963.0,1.0,1
1.45,77,3.0,0.0,5642.0,1949.0,1.0,0
1.1,62,2.0,0.0,3312.0,1960.0,0.0,0
1.01,33,1.0,1.0,1963.0,2015.0,0.0,0
4.5,43,2.0,0.0,2749.0,2013.0,1.0,1
1.45,53,2.0,0.0,4113.0,1986.0,,1
1.6050000000000002,65,2.0,0.0,2671.0,2010.0,1.0,1
1.37,33,1.0,0.0,2205.0,1944.0,0.0,0
3.025,64,3.0,0.0,3835.0,1943.0,0.0,1
0.855,57,2.0,0.0,3437.0,1986.0,1.0,0
1.895,85,4.0,0.0,4412.0,1968.0,0.0,1
2.1,99,5.0,0.0,4909.0,1986.0,1.0,1
1.75,68,3.0,0.0,4167.0,2014.0,0.0,0
1.64,24,1.0,0.0,1208.0,1961.0,0.0,1
2.3600000000000003,115,4.0,1.0,5632.0,,1.0,1
2.13,60,2.0,1.0,3762.0,,,1
2.56,33,2.0,0.0,2073.0,1941.0,0.0,1
1.475,93,4.0,0.0,4392.0,1978.0,0.0,0
1.875,54,2.0,0.0,3555.0,1964.0,0.0,1
1.7000000000000002,87,3.0,0.0,5730.0,2008.0,1.0,1
2.0,83,4.0,0.0,5122.0,1962.0,0.0,1
2.02,54,2.0,1.0,3081.0,,1.0,1
4.2,37,2.0,0.0,1388.0,1931.0,1.0,1
1.79,72,3.0,0.0,4116.0,1934.0,0.0,0
4.575,71,2.0,0.0,3482.0,1971.0,1.0,1
5.07,135,5.0,0.0,6346.0,2012.0,0.0,1
2.425,44,2.0,0.0,2664.0,1947.0,0.0,1
4.79,95,3.0,0.0,4326.0,2013.0,1.0,0
1.925,57,2.0,1.0,3417.0,,1.0,1
2.575,61,2.0,0.0,4222.0,1995.0,1.0,1
3.5749999999999997,131,3.0,0.0,6756.0,2010.0,1.0,1
2.395,84,3.0,1.0,4267.0,,1.0,1
0.795,51,2.0,0.0,2744.0,1949.0,0.0,0
1.15,45,2.0,0.0,2321.0,1942.0,0.0,1
1.545,60,2.0,0.0,2062.0,1959.0,0.0,1
0.63,60,2.0,0.0,3210.0,1951.0,0.0,0
1.4,52,2.0,1.0,3746.0,,1.0,0
1.65,31,1.0,0.0,2193.0,1967.0,0.0,1
3.5,41,2.0,0.0,2410.0,1931.0,1.0,1
2.8099999999999996,45,2.0,0.0,2999.0,1948.0,0.0,1
1.48,89,3.0,0.0,5731.0,1950.0,0.0,1
3.395,88,3.0,0.0,2821.0,2010.0,1.0,0
2.74,73,3.0,0.0,3599.0,1949.0,0.0,0
1.94,77,3.0,0.0,4103.0,1955.0,0.0,1
0.795,59,2.0,0.0,4589.0,1990.0,1.0,0
6.85,99,4.0,0.0,4603.0,2010.0,1.0,1
1.6,83,3.0,0.0,5141.0,1970.0,1.0,1
2.56,25,1.0,0.0,1303.0,1933.0,1.0,1
