municip_code,municip_name,county_code,year,pop,share0_19,share75_,share_elementary_school,share_secondary_school,share_tertiary_school,tax_rate,tax_rate_4_years_back,tax_base,expenditures,real_tax_base,real_expenditures,share_votes_left_last_election,share_seats_left_last_election,nr_seats_council,coalition_last_term,left_coalition_last_term
682,Nässjö,6,2022,31782,0.24926058775407464,0.10745075829085646,0.21272430668841763,0.5070146818923328,0.2802610114192496,22.54,22.19,204101,79582.0,221548.82890202422,86385.16666591978,0.34642207398423286,0.3333333333333333,57.0,BL,0
683,Värnamo,6,2022,34661,0.2365482819307002,0.10695017454776261,0.20551095500919886,0.5028014718180298,0.2916875731727714,21.52,21.52,232645,75398.0,252532.94839276353,81843.49220020883,0.3418596302279662,0.35294117647058826,51.0,B,0
684,Sävsjö,6,2022,11709,0.2549321035101204,0.117687249124605,0.2484472049689441,0.4901656314699793,0.2613871635610766,21.92,21.92,194229,83196.0,210832.9086521441,90308.11396971504,0.2537688442211055,0.2564102564102564,39.0,BL,0
685,Vetlanda,6,2022,27621,0.2386589913471634,0.12251547735418704,0.21490374215877137,0.5241726151849448,0.2609236426562838,22.01,21.51,209860,75488.0,227800.14420987063,81941.18596261657,0.30698353840103376,0.3111111111111111,45.0,BL,0
686,Eksjö,6,2022,17834,0.22832791297521587,0.12251878434451048,0.18911340206185567,0.4865979381443299,0.32428865979381444,22.26,22.26,215428,83445.0,233844.13164416282,90578.40004570979,0.36353982300884957,0.3673469387755102,49.0,B,0
687,Tranås,6,2022,18874,0.23158842852601463,0.13462964925294055,0.19803237067597587,0.5315772770549032,0.2703903522691209,22.11,22.01,203559,85873.0,220960.49535507982,93213.96065822082,0.3915925626515764,0.3902439024390244,41.0,B,0
760,Uppvidinge,7,2022,9449,0.230077256852577,0.12022436236638798,0.24593528018942384,0.5329123914759274,0.2211523283346488,21.9,21.61,199264,83381.0,216298.33191573268,90508.92892577538,0.40304311073541843,0.4,35.0,BL,0
761,Lessebo,7,2022,8574,0.2605551667832983,0.11943083741544204,0.2582025677603424,0.48840941512125535,0.2533880171184023,21.81,21.81,182689,85197.0,198306.39733897385,92480.17195391378,0.511535552193646,0.5142857142857142,35.0,V,1
763,Tingsryd,7,2022,12319,0.20902670671320725,0.14635928240928647,0.21557397026565928,0.541189373629052,0.2432366561052888,22.0,21.07,197128,87801.0,213979.7332879223,95306.77814624441,0.3577447335811648,0.36585365853658536,41.0,BL,0
764,Alvesta,7,2022,20287,0.2598708532557796,0.10938039138364469,0.22011596788581622,0.5075825156110616,0.27230151650312223,21.42,21.42,197564,80522.0,214453.00529247537,87405.52373995617,0.3443052030456853,0.3469387755102041,49.0,BL,0
765,Älmhult,7,2022,17963,0.2605355452875355,0.09848020931915605,0.1906671216515953,0.452482511516806,0.3568503668315987,21.86,20.96,237839,80197.0,258170.9639699391,87052.74070903934,0.37730001936858415,0.36585365853658536,41.0,B,0
767,Markaryd,7,2022,10320,0.22819767441860464,0.12790697674418605,0.2467589864466706,0.5319681791396582,0.22127283441367118,21.31,21.31,192292,80006.0,208730.32178787974,86845.41283548513,0.2761411460019424,0.2571428571428571,35.0,B,0
780,Växjö,7,2022,95995,0.24313766341996979,0.09324443981457367,0.1482606418792549,0.4141392982718635,0.43760005984888156,20.19,20.19,223353,74684.0,242446.61016728883,81068.45501844076,0.43040878870597693,0.4426229508196721,61.0,B,0
781,Ljungby,7,2022,28433,0.2226286357401611,0.12464389969401751,0.18359618178045237,0.5309192778584768,0.28548454036107074,21.07,21.07,214249,77967.0,232564.34335662142,84632.10637382533,0.3353022357162572,0.32653061224489793,49.0,B,0
821,Högsby,8,2022,5645,0.22338352524357838,0.12949512843224092,0.23083131557707828,0.5531342480495023,0.21603443637341943,22.21,21.71,181801,92798.0,197342.48554988415,100730.95293237193,0.3687413554633472,0.37142857142857144,35.0,B,0
834,Torsås,8,2022,7113,0.21200618585688177,0.13566708842963587,0.20822199383350462,0.530524152106886,0.26125385405960944,21.43,21.43,196297,84424.0,213077.69421502418,91641.0910834562,0.3606041535556954,0.34285714285714286,35.0,BL,0
